"Temp","Value"
300,5.81e-19
400,1.47e-11
500,4.002e-07
600,0.0003501
700,0.04287
800,1.535
900,24.16
1000,213.4
1100,1247
1200,5335
1300,18000
1400,50370
1500,121400
1600,260100
1700,504500
1800,899500
1900,1502000
2000,2373000
2100,3557000
2200,5104000
2300,7089000
2400,9508000
2500,12400000
2600,15790000
2700,19680000
2800,24110000
2900,29030000
3000,34370000
3100,40170000
3200,46360000
3300,53060000
3400,59680000
3500,66870000
3600,74300000
3700,81860000
3800,89640000
3900,97550000
4000,105300000
4100,113400000
4200,120800000
4300,129100000
4400,136700000
4500,144200000
4600,152200000
4700,159700000
4800,166700000
4900,173400000
5000,1.8e+08
5100,186900000
5200,193300000
5300,199100000
5400,205100000
5500,210800000
5600,215800000
5700,221500000
5800,226400000
5900,230400000
6000,235600000
